Data,Count,NumeroPostingType,NomePostingType,CompanyId
2017-12-30,17,41,VendBalance,IT01
2017-12-31,19,14,LedgerJournal,IT01
2017-12-31,3,31,CustBalance,IT01
2018-01-02,49,4,Tax,IT01
2018-01-02,73,14,LedgerJournal,IT01
2018-01-02,57,41,VendBalance,IT01
2018-01-02,21,83,PurchOffsetAccountPckSlp,IT01
2018-01-02,21,203,PurchPckSlpPurchaseOffsetAccou,IT01
2018-01-02,8,236,PurchExpense,IT01
2018-01-03,84,4,Tax,IT01
2018-01-03,1659,14,LedgerJournal,IT01
2018-01-03,42,20,Bank,IT01
2018-01-03,2,31,CustBalance,IT01
2018-01-03,128,41,VendBalance,IT01
2018-01-03,2,51,SalesRevenue,IT01
2018-01-03,4,64,SalesPckSlipRevenue,IT01
2018-01-03,4,65,SalesPckSlipRevenueOffsetAccou,IT01
2018-01-03,18,83,PurchOffsetAccountPckSlp,IT01
2018-01-03,18,203,PurchPckSlpPurchaseOffsetAccou,IT01
2018-01-03,6,236,PurchExpense,IT01
2018-01-03,42,249,BankStatement,IT01
2018-01-04,43,4,Tax,IT01
2018-01-04,165,14,LedgerJournal,IT01
2018-01-04,15,20,Bank,IT01
2018-01-04,6,31,CustBalance,IT01
2018-01-04,2,32,CustRevenue,IT01
2018-01-04,67,41,VendBalance,IT01
2018-01-04,23,64,SalesPckSlipRevenue,IT01
2018-01-04,23,65,SalesPckSlipRevenueOffsetAccou,IT01
2018-01-04,5,83,PurchOffsetAccountPckSlp,IT01
2018-01-04,4,203,PurchPckSlpPurchaseOffsetAccou,IT01
2018-01-04,5,236,PurchExpense,IT01
2018-01-04,15,249,BankStatement,IT01
2018-01-05,98,4,Tax,IT01
2018-01-05,1466,14,LedgerJournal,IT01
2018-01-05,37,31,CustBalance,IT01
2018-01-05,1,32,CustRevenue,IT01
2018-01-05,60,41,VendBalance,IT01
2018-01-05,31,64,SalesPckSlipRevenue,IT01
