item_id,timestamp,ACT01,ACT03,ACT04,ACT07,ACT09,ACT13,ACT15,ACT17,ACT32,ACT44,target
FR13,2020-11-23,1231.0,731.0,2.0,146.0,258.0,207.0,11037.0,10957.0,243.0,0.0,24812.0
FR13,2020-11-30,1792.0,439.0,0.0,2878.0,74.0,143.0,0.0,0.0,29796.0,0.0,35122.0
FR13,2020-12-07,904.0,406.0,4.0,594.0,349.0,173.0,73.0,68.0,378.0,0.0,2949.0
FR13,2020-12-14,1177.0,575.0,0.0,735.0,67.0,186.0,134.0,0.0,744.0,0.0,3618.0
FR13,2020-12-21,1810.0,739.0,2.0,214.0,405.0,123.0,0.0,0.0,73.0,0.0,3366.0
FR13,2020-12-28,231.0,12.0,2.0,217.0,180.0,128.0,0.0,0.0,176.0,0.0,946.0
FR13,2021-01-04,1207.0,288.0,0.0,2106.0,358.0,94.0,11047.0,11047.0,26156.0,0.0,52303.0
FR13,2021-01-11,951.0,438.0,0.0,74.0,169.0,190.0,46.0,42.0,204.0,0.0,2114.0
FR13,2021-01-18,1052.0,549.0,2.0,216.0,302.0,185.0,61.0,51.0,168.0,0.0,2586.0
FR13,2021-01-25,2743.0,531.0,2.0,495.0,209.0,99.0,0.0,0.0,21390.0,0.0,25469.0
FR13,2021-02-01,1052.0,559.0,0.0,2632.0,234.0,161.0,11145.0,11139.0,4072.0,63932.0,94926.0
FR13,2021-02-08,460.0,216.0,0.0,62.0,97.0,170.0,17.0,15.0,189.0,0.0,1226.0
FR13,2021-02-15,1419.0,583.0,0.0,287.0,272.0,187.0,0.0,0.0,233.0,0.0,2981.0
FR13,2021-02-22,1199.0,38.0,0.0,392.0,57.0,132.0,0.0,0.0,261.0,0.0,2079.0
FR13,2021-03-01,909.0,645.0,4.0,1947.0,304.0,137.0,10973.0,10973.0,25039.0,0.0,50931.0
FR13,2021-03-08,692.0,499.0,2.0,134.0,247.0,182.0,0.0,0.0,391.0,0.0,2147.0
FR13,2021-03-15,588.0,195.0,0.0,182.0,152.0,90.0,0.0,0.0,79.0,0.0,1286.0
FR13,2021-03-22,847.0,580.0,2.0,223.0,190.0,235.0,0.0,0.0,299.0,0.0,2376.0
FR13,2021-03-29,2480.0,596.0,0.0,2181.0,139.0,166.0,18.0,8.0,25263.0,0.0,30851.0
FR13,2021-04-05,569.0,352.0,0.0,399.0,330.0,88.0,10780.0,10777.0,736.0,0.0,24031.0
FR13,2021-04-12,878.0,189.0,0.0,407.0,262.0,88.0,1.0,0.0,138.0,0.0,1963.0
FR13,2021-04-19,877.0,598.0,0.0,650.0,207.0,251.0,0.0,0.0,231.0,0.0,2814.0
FR13,2021-04-26,2209.0,25.0,0.0,321.0,184.0,131.0,10771.0,10763.0,22393.0,0.0,46797.0
FR13,2021-05-03,1013.0,924.0,2.0,2283.0,232.0,88.0,0.0,0.0,5720.0,0.0,10262.0
FR13,2021-05-10,256.0,221.0,0.0,288.0,112.0,210.0,50.0,46.0,145.0,0.0,1328.0
FR13,2021-05-17,627.0,151.0,0.0,106.0,188.0,54.0,65.0,61.0,77.0,0.0,1329.0
FR13,2021-05-24,2047.0,432.0,0.0,413.0,180.0,119.0,10599.0,10569.0,19928.0,0.0,44287.0
