timestamp,item_id,target
2020-02-12,FR13,434
2020-02-12,GB02,472
2020-02-12,IT01,433
2020-02-12,PL01,69
2020-02-12,RO01,374
2020-02-13,FR13,493
2020-02-13,GB02,8
2020-02-13,IT01,14
2020-02-13,PL01,114
2020-02-13,RO01,7219
2020-02-14,FR13,909
2020-02-14,GB02,635
2020-02-14,IT01,55
2020-02-14,PL01,232
2020-02-14,RO01,88
2020-02-15,FR13,0
2020-02-15,GB02,0
2020-02-15,IT01,0
2020-02-15,PL01,0
2020-02-15,RO01,0
2020-02-16,FR13,0
2020-02-16,GB02,0
2020-02-16,IT01,0
2020-02-16,PL01,0
2020-02-16,RO01,0
2020-02-17,FR13,205
2020-02-17,GB02,20
2020-02-17,IT01,92
2020-02-17,PL01,218
2020-02-17,RO01,246
2020-02-18,FR13,98
2020-02-18,GB02,516
2020-02-18,IT01,228
2020-02-18,PL01,2
2020-02-18,RO01,144
2020-02-19,FR13,172
2020-02-19,GB02,3
2020-02-19,IT01,210
2020-02-19,PL01,0
2020-02-19,RO01,276
2020-02-20,FR13,420
2020-02-20,GB02,50
2020-02-20,IT01,267
2020-02-20,PL01,55
2020-02-20,RO01,6
2020-02-21,FR13,167
2020-02-21,GB02,926
2020-02-21,IT01,440
2020-02-21,PL01,204
2020-02-21,RO01,53
2020-02-22,FR13,3
2020-02-22,GB02,0
2020-02-22,IT01,0
2020-02-22,PL01,0
2020-02-22,RO01,0
2020-02-23,FR13,0
2020-02-23,GB02,0
2020-02-23,IT01,0
2020-02-23,PL01,40
2020-02-23,RO01,0
2020-02-24,FR13,360
2020-02-24,GB02,1856
2020-02-24,IT01,378
2020-02-24,PL01,86
2020-02-24,RO01,1065
2020-02-25,FR13,593
2020-02-25,GB02,1308
2020-02-25,IT01,564
2020-02-25,PL01,210
2020-02-25,RO01,141
2020-02-26,FR13,1313
2020-02-26,GB02,32
2020-02-26,IT01,348
2020-02-26,PL01,101
2020-02-26,RO01,135
2020-02-27,FR13,18767
2020-02-27,GB02,0
2020-02-27,IT01,723
2020-02-27,PL01,149
2020-02-27,RO01,84
2020-02-28,FR13,758
2020-02-28,GB02,24
2020-02-28,IT01,284
2020-02-28,PL01,36
2020-02-28,RO01,141
2020-02-29,FR13,0
2020-02-29,GB02,0
2020-02-29,IT01,0
2020-02-29,PL01,0
2020-02-29,RO01,0
2020-03-01,FR13,0
2020-03-01,GB02,0
2020-03-01,IT01,0
2020-03-01,PL01,0
2020-03-01,RO01,0
2020-03-02,FR13,4489
2020-03-02,GB02,464
2020-03-02,IT01,1254
2020-03-02,PL01,875
2020-03-02,RO01,233
2020-03-03,FR13,2308
2020-03-03,GB02,13736
2020-03-03,IT01,383
2020-03-03,PL01,47571
2020-03-03,RO01,245
2020-03-04,FR13,923
2020-03-04,GB02,4506
2020-03-04,IT01,589
2020-03-04,PL01,1571
2020-03-04,RO01,89
2020-03-05,FR13,24767
2020-03-05,GB02,9302
2020-03-05,IT01,1334
2020-03-05,PL01,4160
2020-03-05,RO01,303
2020-03-06,FR13,413
2020-03-06,GB02,3069
2020-03-06,IT01,338
2020-03-06,PL01,4067
2020-03-06,RO01,2298
2020-03-07,FR13,0
2020-03-07,GB02,0
2020-03-07,IT01,21
2020-03-07,PL01,0
2020-03-07,RO01,0
2020-03-08,FR13,0
2020-03-08,GB02,0
2020-03-08,IT01,0
2020-03-08,PL01,8
2020-03-08,RO01,31
2020-03-09,FR13,491
2020-03-09,GB02,24
2020-03-09,IT01,350
2020-03-09,PL01,121
2020-03-09,RO01,555
2020-03-10,FR13,686
2020-03-10,GB02,1512
2020-03-10,IT01,1239
2020-03-10,PL01,2278
2020-03-10,RO01,106
2020-03-11,FR13,585
2020-03-11,GB02,26
2020-03-11,IT01,388
2020-03-11,PL01,131
2020-03-11,RO01,84
2020-03-12,FR13,389
2020-03-12,GB02,10
2020-03-12,IT01,1287
2020-03-12,PL01,29
2020-03-12,RO01,13062
2020-03-13,FR13,235
2020-03-13,GB02,0
2020-03-13,IT01,594
2020-03-13,PL01,90
2020-03-13,RO01,22
2020-03-14,FR13,0
2020-03-14,GB02,0
2020-03-14,IT01,0
2020-03-14,PL01,0
2020-03-14,RO01,0
2020-03-15,FR13,0
2020-03-15,GB02,0
2020-03-15,IT01,0
2020-03-15,PL01,0
2020-03-15,RO01,0
2020-03-16,FR13,144
2020-03-16,GB02,251
2020-03-16,IT01,150
2020-03-16,PL01,126
2020-03-16,RO01,307
2020-03-17,FR13,592
2020-03-17,GB02,697
2020-03-17,IT01,207
2020-03-17,PL01,148
2020-03-17,RO01,213
2020-03-18,FR13,391
2020-03-18,GB02,553
2020-03-18,IT01,349
2020-03-18,PL01,280
2020-03-18,RO01,13
